1.000E-03 9.238E+01
1.500E-03 1.131E+02
2.000E-03 1.306E+02
2.500E-03 1.461E+02
3.000E-03 1.600E+02
4.000E-03 1.848E+02
5.000E-03 2.066E+02
6.000E-03 2.263E+02
7.000E-03 2.444E+02
8.000E-03 2.613E+02
9.000E-03 2.771E+02
1.000E-02 2.921E+02
1.250E-02 3.206E+02
1.500E-02 3.448E+02
1.750E-02 3.657E+02
2.000E-02 3.838E+02
2.250E-02 3.996E+02
2.500E-02 4.132E+02
2.750E-02 4.250E+02
3.000E-02 4.351E+02
3.500E-02 4.510E+02
4.000E-02 4.620E+02
4.500E-02 4.692E+02
5.000E-02 4.734E+02
5.500E-02 4.752E+02
6.000E-02 4.751E+02
6.500E-02 4.737E+02
7.000E-02 4.712E+02
7.500E-02 4.680E+02
8.000E-02 4.642E+02
8.500E-02 4.601E+02
9.000E-02 4.558E+02
9.500E-02 4.513E+02
1.000E-01 4.468E+02
1.250E-01 4.245E+02
1.500E-01 4.045E+02
1.750E-01 3.867E+02
2.000E-01 3.710E+02
2.250E-01 3.568E+02
2.500E-01 3.440E+02
2.750E-01 3.323E+02
3.000E-01 3.215E+02
3.500E-01 3.017E+02
4.000E-01 2.842E+02
4.500E-01 2.686E+02
5.000E-01 2.548E+02
5.500E-01 2.425E+02
6.000E-01 2.314E+02
6.500E-01 2.215E+02
7.000E-01 2.124E+02
7.500E-01 2.042E+02
8.000E-01 1.966E+02
8.500E-01 1.897E+02
9.000E-01 1.833E+02
9.500E-01 1.774E+02
1.000E+00 1.719E+02
1.250E+00 1.494E+02
1.500E+00 1.327E+02
1.750E+00 1.198E+02
2.000E+00 1.094E+02
2.250E+00 1.009E+02
2.500E+00 9.377E+01
2.750E+00 8.769E+01
3.000E+00 8.245E+01
3.500E+00 7.383E+01
4.000E+00 6.703E+01
4.500E+00 6.151E+01
5.000E+00 5.691E+01
5.500E+00 5.303E+01
6.000E+00 4.970E+01
6.500E+00 4.681E+01
7.000E+00 4.428E+01
7.500E+00 4.203E+01
8.000E+00 4.002E+01
8.500E+00 3.822E+01
9.000E+00 3.658E+01
9.500E+00 3.510E+01
1.000E+01 3.375E+01
1.250E+01 2.841E+01
1.500E+01 2.465E+01
1.750E+01 2.185E+01
2.000E+01 1.968E+01
2.500E+01 1.651E+01
2.750E+01 1.532E+01
3.000E+01 1.430E+01
3.500E+01 1.267E+01
4.000E+01 1.141E+01
4.500E+01 1.041E+01
5.000E+01 9.590E+00
5.500E+01 8.908E+00
6.000E+01 8.330E+00
6.500E+01 7.835E+00
7.000E+01 7.405E+00
7.500E+01 7.029E+00
8.000E+01 6.696E+00
8.500E+01 6.399E+00
9.000E+01 6.133E+00
9.500E+01 5.893E+00
1.000E+02 5.676E+00
1.250E+02 4.835E+00
1.500E+02 4.261E+00
1.750E+02 3.843E+00
2.000E+02 3.525E+00
2.250E+02 3.276E+00
2.500E+02 3.075E+00
2.750E+02 2.910E+00
3.000E+02 2.772E+00
3.500E+02 2.555E+00
4.000E+02 2.392E+00
4.500E+02 2.266E+00
5.000E+02 2.166E+00
5.500E+02 2.086E+00
6.000E+02 2.019E+00
6.500E+02 1.964E+00
7.000E+02 1.918E+00
7.500E+02 1.878E+00
8.000E+02 1.845E+00
8.500E+02 1.816E+00
9.000E+02 1.790E+00
9.500E+02 1.768E+00
1.000E+03 1.749E+00
1.500E+03 1.647E+00
2.000E+03 1.617E+00
2.500E+03 1.613E+00
3.000E+03 1.619E+00
4.000E+03 1.642E+00
5.000E+03 1.668E+00
6.000E+03 1.692E+00
7.000E+03 1.714E+00
8.000E+03 1.734E+00
9.000E+03 1.752E+00
1.000E+04 1.768E+00
